game_id,period,team_id,source_type,reason,evidence_summary,preferred_source,date_added,notes
0021600270,5,1610612760,legacy_bridge_override_now_matches_v6,ot_boundary_fix,Override team row matches the resolved v6 OKC P5 gamerotation boundary row while v5 still had the period queued locally and the older v4 P5 row differed by one player.,v6,pre-2026-03-19,legacy bridge row | v6 exact; v5 queued locally
0021600281,5,1610612744,legacy_bridge_override_now_matches_v6,ot_boundary_fix,Override team row matches the resolved v6 Warriors P5 gamerotation boundary row; v4 and v5 have no resolved row for this team-period locally.,v6,pre-2026-03-19,legacy bridge row | v6 only locally
0021600559,6,1610612757,legacy_bridge_override_now_matches_v6,double_ot_boundary_fix,Override team row matches the resolved v6 Portland P6 gamerotation boundary row; v4 and v5 have no resolved row for this double-OT team-period locally.,v6,pre-2026-03-19,legacy bridge row | v6 only locally
0021600976,5,1610612740,legacy_bridge_override_now_matches_v6,ot_boundary_fix,Override team row matches the resolved v6 NOP P5 gamerotation boundary row while v5 still had the period queued locally and the older v4 P5 row differed by one player.,v6,pre-2026-03-19,legacy bridge row | v6 exact; v5 queued locally
0021700482,5,1610612751,source_backed_local_override,explicit_2018_ot_fix,Nets P5 override was explicitly promoted on 2026-03-16 with a clean one-game canary and improved the 2018 minutes_over_2 bucket from 15 to 3,v6,2026-03-16,matches v6 exact team set | see AGENTS note and audit_2018_period_starter_override_21700482_20260316_v1
0021900120,5,1610612750,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 MIN P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021900156,1,1610612764,manual_raw_pbp_p1_fix,p1_missing_source_rows,"No local v4, v5, or v6 row exists for WAS P1, but raw Q1 PBP shows Bertans FOR Hachimura at 9:14, Wagner FOR Bryant at 4:59, Miles FOR Thomas and Smith FOR Brown Jr. at 3:06, and McRae FOR Beal at 1:04, which identifies the override five as the Wizards starters.",raw_pbp,pre-2026-03-19,legacy row | source gap across v4 and v5 and v6
0021900272,5,1610612737,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 ATL P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021900409,5,1610612764,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 WAS P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021900563,5,1610612765,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 DET P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021900696,5,1610612758,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 SAC P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021900892,5,1610612745,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 HOU P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021901281,6,1610612743,legacy_bridge_override_now_matches_v4_and_v6,double_ot_boundary_fix,Override team row matches both the older v4 DEN P6 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
0021901300,4,1610612757,legacy_row_now_matches_v4_v5_v6,q4_boundary_fix,"Override team row exactly matches the resolved POR P4 team set in v4, v5, and v6; no contradictory local source row remains, so this is a retained legacy carry-forward row rather than an active repair.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029600113,4,1610612758,prefer_v5_over_bad_v6,bad_v6_boundary_row,Q4 Kings raw PBP shows repeated Lionel Simmons 1489 events while the active lineup omitted him; family register flagged bad_v6_boundary_row; override matches the v5 Kings row and replaces the bad v6 row that used 782 instead of 1489,v5,2026-03-19,1997 bad-v6 cluster | matches v5 exact team set
0029600272,3,1610612758,prefer_v5_over_bad_v6,bad_v6_boundary_row,"Q3 Kings raw issue rows repeatedly credit Corliss Williamson 722 while the bad v6 row carries Lionel Simmons 1489; the override matches the exact v4 and v5 Kings team row, not v6.",v5,2026-03-19,1997 bad-v6 cluster | matches v4 and v5 exact team set
0029601026,2,1610612737,prefer_v5_over_bad_v6,bad_v6_boundary_row,Q2 Hawks raw issue rows credit Henry James 1080 early in the quarter while the v6 ATL row omitted him for 895; family register says ATL P2 v6 row is wrong and override matches the v5 ATL row,v5,2026-03-19,1997 bad-v6 cluster | matches v5 exact team set
0029601076,2,1610612744,prefer_v5_over_bad_v6,bad_v6_boundary_row,Q2 Warriors raw issue rows show Joe Smith 693 and Andrew DeClercq 692 events at 11:23 and 10:57 while the v6 row kept 923 and 899 active; override matches the v5 Warriors row,v5,2026-03-19,1997 bad-v6 cluster | matches v5 exact team set
0029601076,2,1610612759,prefer_v5_over_bad_v6,bad_v6_boundary_row,Q2 Spurs raw issue rows show Cory Alexander 724 assist credit at 10:47 while the v6 row kept Dominique Wilkins 1122 active; override matches the v5 Spurs row,v5,2026-03-19,1997 bad-v6 cluster | matches v5 exact team set
0029601084,2,1610612744,manual_raw_pbp_team_repair,bad_v6_boundary_row,Q2 Warriors v6 row used 923 instead of Andrew DeClercq 692 and the raw issue rows immediately credit DeClercq early in the quarter; local repair used a team-level raw-PBP reconstruction rather than trusting either full v5 or full v6 row,raw_pbp,2026-03-19,1997 bad-v6 cluster | neither v5 nor v6 full game-period row was trusted wholesale
0029601084,2,1610612762,manual_raw_pbp_team_repair,bad_v6_boundary_row,Q2 Jazz raw issue rows show 11:41 SUB Keefe FOR Ostertag and 10:10 Keefe assist which implies Ostertag 731 starts the period and Keefe 228 enters later; local repair corrected the Jazz team row instead of taking the v6 row with 935 or the full v5 row blindly,raw_pbp,2026-03-19,1997 bad-v6 cluster | targeted team-level repair
0029700157,5,1610612741,legacy_row_now_matches_v4_v5_v6,ot_boundary_fix,"1998 large-minute-outlier starter audit flagged CHI P5 with Rusty LaRue missing from current starters; the override team row now exactly matches the resolved v4, v5, and v6 CHI P5 sets.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029700157,6,1610612746,legacy_row_now_matches_v4_v5_v6,double_ot_boundary_fix,"1998 large-minute-outlier starter audit flagged LAC P6 with Brent Barry missing from current starters; the override team row now exactly matches the resolved v4, v5, and v6 LAC P6 sets.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029700233,4,1610612747,legacy_row_now_matches_v4_v5_v6,q4_boundary_fix,"1998 large-minute-outlier starter audit flagged LAL P4 with Kobe Bryant missing and Eddie Jones extra; the override team row now exactly matches the resolved v4, v5, and v6 LAL P4 sets.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029700621,5,1610612752,prefer_v5_v6_gap,ot_boundary_fix_with_v6_gap,Knicks OT team row matches the exact v4 and v5 OT row while v6 has no resolved row because gamerotation stints were incomplete or malformed at the OT boundary.,v5,pre-2026-03-19,v6 gap case | v4 and v5 agree; keep override until v6 coverage improves
0029700899,5,1610612742,legacy_row_now_matches_v4_v5_v6,ot_boundary_fix,"1998 large-minute-outlier starter audit flagged DAL P5 with Hubert Davis missing from current starters; the override team row now exactly matches the resolved v4, v5, and v6 DAL P5 sets.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029701082,3,1610612745,legacy_row_now_matches_v4_v5_v6,q3_boundary_fix,"1998 large-minute-outlier starter audit flagged HOU P3 with Matt Maloney missing from current starters; the override team row now exactly matches the resolved v4, v5, and v6 HOU P3 sets.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029701114,5,1610612753,legacy_row_now_matches_v4_v5_v6,ot_boundary_fix,"1998 large-minute-outlier starter audit flagged ORL P5 with Kevin Ollie missing from current starters; the override team row now exactly matches the resolved v4, v5, and v6 ORL P5 sets.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0029900590,2,1610612744,prefer_v5_over_bad_v6,q2_boundary_fix,Q2 Warriors current row used Sam Jacobson 1734 while tpdev PBP starts the quarter with Vonteego Cummings 1907. Raw PBP immediately credits Vonteego at 11:46 10:51 10:32 and 10:08. v5 matches tpdev while v6 is wrong.,v5,2026-03-19,matches v5 and tpdev exact team set
0029900590,3,1610612742,manual_raw_pbp_boundary_fix,q3_boundary_fix,Q3 Mavericks current row carried Hubert Davis 93 but raw PBP has an explicit 12:00 SUB Strickland FOR Davis and tpdev PBP starts Q3 with Erick Strickland 1065. No resolved v5 or v6 row exists for this team period locally.,unknown,2026-03-19,12:00 sub at period boundary | source gap in v5 and v6
0029901035,5,1610612766,manual_raw_pbp_ot_fix,ot_silent_carryover,Charlotte OT was a pure silent-carryover miss after late Q4 Todd Fuller FOR Chucky Brown; local trace showed Brown minus 300 seconds and Fuller plus 300 seconds and the one-game audit cleaned fully after the override,raw_pbp,2026-03-17,override later matched by v5 and v6 exact team set
0041900114,2,1610612761,legacy_row_now_matches_v4_v5_v6,q2_boundary_fix,"Override team row exactly matches the resolved TOR P2 team set in v4, v5, and v6; no contradictory local source row remains, so this is a retained legacy carry-forward row rather than an active repair.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
0041900161,5,1610612762,legacy_bridge_override_now_matches_v4_and_v6,ot_boundary_fix,Override team row matches both the older v4 UTA P5 first-clock-change row and the resolved v6 gamerotation boundary row while v5 still has the period queued locally.,unknown,pre-2026-03-19,legacy bridge row | v4 and v6 agree
